date,rank,song,artist
1998-02-16,1,Back to You,Bryan Adams
1998-02-23,1,Truly Madly Deeply,Savage Garden
1998-03-02,1,My Heart Will Go On,Celine Dion
1998-03-09,1,My Heart Will Go On,Celine Dion
1998-03-16,1,My Heart Will Go On,Celine Dion
1998-03-23,1,My Heart Will Go On,Celine Dion
1998-03-30,1,My Heart Will Go On,Celine Dion
1998-04-06,1,My Heart Will Go On,Celine Dion
1998-04-13,1,"Torn""†",Natalie Imbruglia
1998-04-20,1,"Torn""†",Natalie Imbruglia
1998-04-27,1,"Torn""†",Natalie Imbruglia
1998-05-04,1,"Torn""†",Natalie Imbruglia
1998-05-11,1,"Torn""†",Natalie Imbruglia
1998-05-18,1,"Torn""†",Natalie Imbruglia
1998-05-25,1,"Torn""†",Natalie Imbruglia
1998-06-01,1,"Torn""†",Natalie Imbruglia
1998-06-08,1,"Torn""†",Natalie Imbruglia
1998-06-15,1,The Way,Fastball
1998-06-22,1,"Torn""†",Natalie Imbruglia
1998-06-29,1,"Torn""†",Natalie Imbruglia
1998-07-06,1,"Torn""†",Natalie Imbruglia
1998-07-13,1,Iris,Goo Goo Dolls
1998-07-20,1,Iris,Goo Goo Dolls
1998-07-27,1,Iris,Goo Goo Dolls
1998-08-03,1,Iris,Goo Goo Dolls
1998-08-10,1,Iris,Goo Goo Dolls
1998-08-17,1,The Boy Is Mine,Brandy and Monica
1998-08-24,1,Iris,Goo Goo Dolls
1998-08-31,1,Iris,Goo Goo Dolls
1998-09-07,1,Iris,Goo Goo Dolls
1998-09-14,1,Crush,Jennifer Paige
1998-09-21,1,Crush,Jennifer Paige
1998-09-28,1,Crush,Jennifer Paige
1998-10-05,1,Crush,Jennifer Paige
1998-10-12,1,Crush,Jennifer Paige
1998-10-19,1,Slide,Goo Goo Dolls
1998-10-26,1,Slide,Goo Goo Dolls
1998-11-02,1,On a Day Like Today,Bryan Adams
1998-11-09,1,Sweetest Thing,U2
1998-11-16,1,Sweetest Thing,U2
1998-11-23,1,Sweetest Thing,U2
1998-11-30,1,Thank U,Alanis Morissette
1998-12-07,1,Thank U,Alanis Morissette
1998-12-14,1,Thank U,Alanis Morissette
1998-12-21,1,Thank U,Alanis Morissette
1998-12-28,1,Thank U,Alanis Morissette
1999-01-04,1,Thank U,Alanis Morissette
1999-01-11,1,It's All Been Done,Barenaked Ladies
1999-01-18,1,It's All Been Done,Barenaked Ladies
1999-01-25,1,Hands,Jewel
1999-02-01,1,You Get What You Give,New Radicals
1999-02-08,1,...Baby One More Time,Britney Spears
1999-02-15,1,Believe,Cher
1999-02-22,1,Believe,Cher
1999-03-01,1,Believe,Cher
1999-03-08,1,Every Morning,Sugar Ray
1999-03-15,1,Every Morning,Sugar Ray
1999-03-22,1,Every Morning,Sugar Ray
1999-03-29,1,Every Morning,Sugar Ray
1999-04-05,1,Every Morning,Sugar Ray
1999-04-12,1,Love Song,Sky
1999-04-19,1,Love Song,Sky
1999-04-26,1,No Scrubs,TLC
1999-05-03,1,No Scrubs,TLC
1999-05-10,1,Kiss Me,Sixpence None the Richer
1999-05-17,1,Kiss Me,Sixpence None the Richer
1999-05-24,1,Kiss Me,Sixpence None the Richer
1999-05-31,1,"Livin' la Vida Loca""†",Ricky Martin
1999-06-07,1,"Livin' la Vida Loca""†",Ricky Martin
1999-06-14,1,"Livin' la Vida Loca""†",Ricky Martin
1999-06-21,1,"Livin' la Vida Loca""†",Ricky Martin
1999-06-28,1,"Livin' la Vida Loca""†",Ricky Martin
1999-07-05,1,"Livin' la Vida Loca""†",Ricky Martin
1999-07-12,1,"Livin' la Vida Loca""†",Ricky Martin
1999-07-19,1,"Livin' la Vida Loca""†",Ricky Martin
1999-07-26,1,Beautiful Stranger,Madonna
1999-08-02,1,Beautiful Stranger,Madonna
1999-08-09,1,If You Had My Love,Jennifer Lopez
1999-08-16,1,If You Had My Love,Jennifer Lopez
1999-08-23,1,If You Had My Love,Jennifer Lopez
1999-08-30,1,If You Had My Love,Jennifer Lopez
1999-09-06,1,If You Had My Love,Jennifer Lopez
1999-09-13,1,If You Had My Love,Jennifer Lopez
1999-09-20,1,Mambo No. 5,Lou Bega
1999-09-27,1,Mambo No. 5,Lou Bega
1999-10-04,1,Mambo No. 5,Lou Bega
1999-10-11,1,Mambo No. 5,Lou Bega
1999-10-18,1,Mambo No. 5,Lou Bega
1999-10-25,1,Mambo No. 5,Lou Bega
1999-11-01,1,Mambo No. 5,Lou Bega
1999-11-08,1,Mambo No. 5,Lou Bega
1999-11-15,1,Mambo No. 5,Lou Bega
1999-11-22,1,Mambo No. 5,Lou Bega
1999-11-29,1,Mambo No. 5,Lou Bega
1999-12-06,1,Smooth,Santana featuring Rob Thomas
1999-12-13,1,Blue,Eiffel 65
1999-12-20,1,Blue,Eiffel 65
1999-12-27,1,Blue,Eiffel 65
2000-01-01,1,Blue,Eiffel 65
2000-01-03,1,Blue,Eiffel 65
2000-01-08,1,Blue,Eiffel 65
2000-01-10,1,I Knew I Loved You,Savage Garden
2000-01-15,1,Blue,Eiffel 65
