date,rank,song,artist
2010-07-12,1,Señorita,Shawn Mendes and Camila Cabello
2010-07-12,1,Wake Me Up!,Avicii
2010-07-13,1,Don't Matter to Me,Drake featuring Michael Jackson
2010-07-13,1,Flytta på dej!,Alina Devecerski
2010-07-14,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-07-15,1,What Are Words,Chris Medina
2010-07-16,1,The Ocean,Mike Perry featuring Shy Martin
2010-07-16,1,Sun Is Shining,Axwell and Ingrosso
2010-07-16,1,We No Speak Americano,Yolanda Be Cool & DCUP
2010-07-17,1,Din soldat,Albin feat. Kristin Amparo
2010-07-19,1,Señorita,Shawn Mendes and Camila Cabello
2010-07-19,1,Wake Me Up!,Avicii
2010-07-20,1,Flytta på dej!,Alina Devecerski
2010-07-20,1,In My Feelings,Drake
2010-07-21,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-07-22,1,What Are Words,Chris Medina
2010-07-23,1,Overdrive,Ola Svensson
2010-07-23,1,The Ocean,Mike Perry featuring Shy Martin
2010-07-24,1,Din soldat,Albin feat. Kristin Amparo
2010-07-24,1,Lush Life,Zara Larsson
2010-07-26,1,Señorita,Shawn Mendes and Camila Cabello
2010-07-26,1,Wake Me Up!,Avicii
2010-07-27,1,Still,Hov1
2010-07-27,1,Whistle,Flo Rida
2010-07-28,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-07-29,1,What Are Words,Chris Medina
2010-07-29,1,Cold Water,Major Lazer featuring Justin Bieber and MØ
2010-07-30,1,Dancing on My Own,Robyn
2010-07-31,1,Lush Life,Zara Larsson
2010-07-31,1,Prayer in C,Lilly Wood & The Prick and Robin Schulz
2010-08-02,1,Wake Me Up!,Avicii
2010-08-02,1,Señorita,Shawn Mendes and Camila Cabello
2010-08-03,1,In My Feelings,Drake
2010-08-03,1,Whistle,Flo Rida
2010-08-04,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-08-05,1,What Are Words,Chris Medina
2010-08-05,1,Cold Water,Major Lazer featuring Justin Bieber and MØ
2010-08-06,1,Dancing on My Own,Robyn
2010-08-07,1,Prayer in C,Lilly Wood & The Prick and Robin Schulz
2010-08-07,1,Lush Life,Zara Larsson
2010-08-09,1,Dance Monkey,Tones and I
2010-08-09,1,Wake Me Up!,Avicii
2010-08-10,1,In My Mind,Dynoro and Gigi D'Agostino
2010-08-10,1,Vart jag än går,Stiftelsen
2010-08-11,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-08-12,1,Cold Water,Major Lazer featuring Justin Bieber and MØ
2010-08-12,1,What Are Words,Chris Medina
2010-08-13,1,Waka Waka,Shakira featuring Freshlyground
2010-08-14,1,Lush Life,Zara Larsson
2010-08-14,1,Prayer in C,Lilly Wood & The Prick and Robin Schulz
2010-08-16,1,Wake Me Up!,Avicii
2010-08-16,1,Dance Monkey,Tones and I
2010-08-17,1,In My Mind,Dynoro and Gigi D'Agostino
2010-08-17,1,Vart jag än går,Stiftelsen
2010-08-18,1,Without You,Avicii featuring Sandro Cavazza
2010-08-19,1,What Are Words,Chris Medina
2010-08-19,1,Cold Water,Major Lazer featuring Justin Bieber and MØ
2010-08-20,1,Love the Way You Lie,Eminem featuring Rihanna
2010-08-21,1,Lush Life,Zara Larsson
2010-08-21,1,Prayer in C,Lilly Wood & The Prick and Robin Schulz
2010-08-23,1,Dance Monkey,Tones and I
2010-08-23,1,Wake Me Up!,Avicii
2010-08-24,1,Vart jag än går,Stiftelsen
2010-08-24,1,In My Mind,Dynoro and Gigi D'Agostino
2010-08-25,1,Without You,Avicii featuring Sandro Cavazza
2010-08-26,1,Danza Kuduro,Don Omar & Lucenzo
2010-08-26,1,Cold Water,Major Lazer featuring Justin Bieber and MØ
2010-08-27,1,Love the Way You Lie,Eminem featuring Rihanna
2010-08-28,1,Prayer in C,Lilly Wood & The Prick and Robin Schulz
2010-08-28,1,Johnny G,Badpojken
2010-08-30,1,Wake Me Up!,Avicii
2010-08-30,1,Nu vi skiner,Einár
2010-08-31,1,Vart jag än går,Stiftelsen
2010-08-31,1,Auf wiedersehen,Hov1
2010-09-01,1,Without You,Avicii featuring Sandro Cavazza
2010-09-02,1,Vart jag mig i världen vänder,Den svenska björnstammen
2010-09-02,1,Cold Water,Major Lazer featuring Justin Bieber and MØ
2010-09-03,1,Love the Way You Lie,Eminem featuring Rihanna
2010-09-04,1,What Do You Mean?,Justin Bieber
2010-09-04,1,I'm an Albatraoz,AronChupa
2010-09-06,1,Dance Monkey,Tones and I
2010-09-06,1,Wake Me Up!,Avicii
2010-09-07,1,In My Mind,Dynoro and Gigi D'Agostino
2010-09-07,1,Vart jag än går,Stiftelsen
2010-09-08,1,Without You,Avicii featuring Sandro Cavazza
2010-09-09,1,Ain't My Fault,Zara Larsson
2010-09-09,1,Vart jag mig i världen vänder,Den svenska björnstammen
2010-09-10,1,Love the Way You Lie,Eminem featuring Rihanna
2010-09-11,1,What Do You Mean?,Justin Bieber
2010-09-11,1,I'm an Albatraoz,AronChupa
2010-09-13,1,Pippi,Dree Low
2010-09-13,1,Wake Me Up!,Avicii
2010-09-14,1,In My Mind,Dynoro and Gigi D'Agostino
2010-09-14,1,Vart jag än går,Stiftelsen
2010-09-15,1,Without You,Avicii featuring Sandro Cavazza
2010-09-16,1,Vart jag mig i världen vänder,Den svenska björnstammen
2010-09-16,1,Closer,The Chainsmokers featuring Halsey
2010-09-17,1,Waka Waka,Shakira featuring Freshlyground
2010-09-18,1,I'm an Albatraoz,AronChupa
2010-09-18,1,What Do You Mean?,Justin Bieber
2010-09-20,1,Pippi,Dree Low
2010-09-20,1,You Make Me,Avicii
2010-09-21,1,I Love It,Kanye West and Lil Pump
2010-09-21,1,Hungry Hearts,Nause
2010-09-22,1,Rockstar,Post Malone featuring 21 Savage
2010-09-23,1,Moves Like Jagger,Maroon 5 featuring Christina Aguilera
2010-09-23,1,Closer,The Chainsmokers featuring Halsey
2010-09-24,1,Love the Way You Lie,Eminem featuring Rihanna
2010-09-25,1,Blame,Calvin Harris Feat John Newman
2010-09-25,1,Never Forget You,MNEK and Zara Larsson
2010-09-27,1,Hey Brother,Avicii
2010-09-27,1,Pippi,Dree Low
2010-09-28,1,Don't You Worry Child,Swedish House Mafia featuring John Martin
2010-09-28,1,Falling Down,Lil Peep and XXXTentacion
2010-09-29,1,Rockstar,Post Malone featuring 21 Savage
2010-09-30,1,Vart jag mig i världen vänder,Den svenska björnstammen
2010-09-30,1,Closer,The Chainsmokers featuring Halsey
2010-10-01,1,Black Fender,Hans Edler
2010-10-02,1,What Do You Mean?,Justin Bieber
2010-10-02,1,Blame,Calvin Harris Feat John Newman
2010-10-04,1,Pippi,Dree Low
2010-10-04,1,Hey Brother,Avicii
2010-10-05,1,Don't You Worry Child,Swedish House Mafia featuring John Martin
2010-10-05,1,Sweet but Psycho,Ava Max
2010-10-06,1,Rockstar,Post Malone featuring 21 Savage
2010-10-07,1,Starboy,The Weeknd featuring Daft Punk
2010-10-07,1,Vart jag mig i världen vänder,Den svenska björnstammen
2010-10-08,1,Black Fender,Hans Edler
2010-10-09,1,Blame,Calvin Harris Feat John Newman
