date,rank,song,artist
1971-07-09,1,Mozart 40,Waldo De Los Rios
1971-07-16,1,Put Your Hand in the Hand,Ocean
1971-07-23,1,Me and You and a Dog Named Boo,Lobo
1971-07-30,1,Me and You and a Dog Named Boo,Lobo
1971-08-06,1,Me and You and a Dog Named Boo,Lobo
1971-08-13,1,Me and You and a Dog Named Boo,Lobo
1971-08-20,1,L.A. International Airport,Susan Raye
1971-08-27,1,I Did What I Did for Maria,Tony Christie
1971-09-03,1,I Did What I Did for Maria,Tony Christie
1971-09-10,1,L.A. International Airport,Susan Raye
1971-09-17,1,I Did What I Did for Maria,Tony Christie
1971-09-24,1,I Did What I Did for Maria,Tony Christie
1971-10-01,1,Neverending Song of Love,"Delaney, Bonnie & Friends"
1971-10-08,1,Neverending Song of Love,"Delaney, Bonnie & Friends"
1971-10-15,1,Neverending Song of Love,"Delaney, Bonnie & Friends"
1971-10-22,1,"L'Amour est l'Enfante de la Liberte""‡",Rumour
1971-10-29,1,"L'Amour est l'Enfante de la Liberte""‡",Rumour
1971-11-05,1,"L'Amour est l'Enfante de la Liberte""‡",Rumour
1971-11-12,1,"L'Amour est l'Enfante de la Liberte""‡",Rumour
1971-11-19,1,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1971-11-26,1,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1971-12-03,1,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1971-12-10,1,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1971-12-17,1,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1971-12-24,1,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1971-12-31,1,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1972-01-07,1,Summer break - no chart,Summer break - no chart
1972-01-14,1,Imagine,John Lennon
1972-01-21,1,Imagine,John Lennon
1972-01-28,1,Imagine,John Lennon
1972-02-04,1,Imagine,John Lennon
